g_event_id,sid,time,r_dow,r_hod,a_er_cat,a_app_id,a_campaign_type_id,a_camp_id,a_group_id,r_source_id,c_id,r_site_id,r_site_iab_cats,r_country_id,r_region_code,r_platform,r_network_type,r_traffic_type,c_type,c_cta,c_text,c_size,s_gerry_type,s_caesar_id,response
-4,0,1568674846.367,0,23,0,930,2,25555,26682,69,6359436,28082078,"14,3",10,01,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674846.664,0,23,0,1087,2,25179,26510,69,6371275,28082078,"14,3",32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674851.734,0,23,0,1883,2,6491,25661,69,6354162,28082078,"14,3",146,26,ANDROID,wifi,app,HTML,PIDE YA,,3000250,,,0
-4,0,1568674858.476,0,23,0,1999,2,25662,27118,69,6374255,27765271,3,32,27,ANDROID,cellular,app,NATIVE,Peça agora,o app do gás,0,,,0
-4,0,1568674864.914,0,23,0,1933,2,25603,27171,69,6391112,28082078,"14,3",32,21,ANDROID,wifi,app,IMAGE,,,3000250,2,,0
-4,0,1568674883.035,0,23,0,2213,2,6639,14721,69,6374391,28175271,"24,3",178,,ANDROID,wifi,app,NATIVE,Shop Now,Daily Flash Deals - 50% OFF + Free Delivery,0,,,0
-4,0,1568674884.174,0,23,0,930,2,25482,26490,69,6379437,28082078,"14,3",32,27,ANDROID,wifi,app,HTML,ABRIR O APP,,3000250,,,0
-4,0,1568674891.289,0,23,1,2268,2,6644,14737,253,6392085,28641080,24,32,06,ANDROID,wifi,app,VIDEO,,,3200480,,,0
-4,0,1568674891.635,0,23,0,1087,2,25179,26510,69,6371275,26358728,"1,9,9",32,05,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674902.032,0,23,0,2154,2,25476,26459,69,6386377,28082078,"14,3",32,,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674913.156,0,23,2,1852,2,6568,15851,253,6363903,28641080,24,237,NC,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674917.468,0,23,0,2339,2,6842,26846,69,6376967,27951860,"3,7",45,12,ANDROID,cellular,app,NATIVE,Mejores Tarifas,¡No te muevas sin las mejores tarifas de Beat!,0,,,0
-4,0,1568674920.661,0,23,0,1061,2,25401,27497,69,6381957,27765271,3,106,26,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,0
-4,0,1568674924.74,0,23,0,2213,2,6639,14723,69,6388961,27734524,3,178,D9,ANDROID,cellular,app,NATIVE,Shop Now,₱{product.sale_price} |  {product.title},0,,,0
-4,0,1568674926.443,0,23,0,1061,2,25401,26160,69,6381958,27765271,3,106,08,ANDROID,cellular,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,0,,0
-4,0,1568674929.639,0,23,0,1992,2,25403,26865,69,6392813,28082078,"14,3",32,27,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568674957.507,0,23,0,1087,2,25179,25835,69,6381396,28082078,"14,3",32,16,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674962.49,0,23,0,2154,2,25171,25171,69,6364811,28082078,"14,3",32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674963.252,0,23,0,1087,2,25179,25179,69,6371265,28082078,"14,3",32,27,ANDROID,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568674967.446,0,23,0,1882,2,6941,16061,74,6373448,28120963,14,177,13,IOS,wifi,app,IMAGE,,,3000250,0,,0
-4,0,1568674971.324,0,23,0,2117,2,25160,26745,253,6389888,28641080,24,237,,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568674987.908,0,23,0,930,2,25482,26490,69,6379444,28153864,"14,3",32,27,ANDROID,cellular,app,NATIVE,ABRIR O APP,Coloque créditos no seu celular a qualquer hora!,0,,,0
-4,0,1568675022.43,0,23,0,1883,2,6932,16056,69,6374612,28082078,"14,3",177,15,ANDROID,wifi,app,IMAGE,,,3000250,0,,0
-4,0,1568675028.488,0,23,0,2117,2,25160,26745,253,6389859,28640786,19,237,,ANDROID,cellular,app,IMAGE,,,3200480,,,0
-4,0,1568675041.034,0,23,0,1883,2,6493,14204,69,6353794,28082078,"14,3",32,27,ANDROID,wifi,app,HTML,PEÇA JÁ,,3000250,,,0
-4,0,1568675046.657,0,23,0,2247,2,6618,14617,272,6379105,27575059,9,32,31,ANDROID,wifi,app,IMAGE,,,3200480,,,0
-4,0,1568675060.386,0,23,0,1087,2,25179,25835,69,6371265,28082078,"14,3",32,21,ANDROID,wifi,app,IMAGE,,,3000250,,,0
-4,0,1568675060.882,0,23,0,1061,2,6652,14760,69,6376677,27734524,3,106,04,ANDROID,cellular,app,NATIVE,Unduh sekarang,Kodo Promo: GRAB4W,0,,,0
-4,0,1568675068.452,0,23,0,2339,2,25357,25851,74,6378901,28121000,1,49,34,ANDROID,wifi,app,IMAGE,,,3200050,,,0
-4,0,1568675085.207,0,23,0,2339,2,6842,26846,253,6376578,27591868,9,45,12,ANDROID,wifi,app,VIDEO,,,10240768,,,0
-4,0,1568675085.466,0,23,0,536,2,25716,27393,74,6391996,28120963,14,177,15,IOS,cellular,app,IMAGE,,,3000250,,,0
-4,0,1568675112.564,0,23,0,1061,2,25401,27497,69,6381957,27734524,3,106,04,ANDROID,wifi,app,NATIVE,Pesan Sekarang,Cara mudah mencari menulokal sekitar adalah dengan membuka aplikasi GrabFood,0,,,0
